Case_ID,Arrival_Time,Completion_Time,Duration_Minutes,Complexity,Team,Assigned_Staff,SLA_Limit_Minutes,SLA_Breached
CASE-11897,2025-11-26 23:15:17.022286,2025-11-27 05:09:10.758080,353.9,Complex,Approval_Board,Staff_14,480,0
CASE-10198,2025-11-26 23:19:01.405788,2025-11-27 08:26:29.727426,547.47,Critical,Audit_Section,Staff_25,1440,0
CASE-10318,2025-11-27 00:46:43.165690,2025-11-27 04:31:14.880884,224.53,Complex,Approval_Board,Staff_24,480,0
CASE-11286,2025-11-27 01:01:47.978385,2025-11-27 02:46:22.433153,104.57,Medium,Intake_Team,Staff_16,180,0
CASE-10652,2025-11-27 01:03:08.428594,2025-11-27 01:56:25.795060,53.29,Simple,Review_Team,Staff_14,60,0
CASE-11145,2025-11-27 01:51:45.436965,2025-11-27 07:02:52.979245,311.13,Complex,Intake_Team,Staff_2,480,0
CASE-11555,2025-11-27 01:54:26.858050,2025-11-27 02:09:41.546592,15.24,Simple,Intake_Team,Staff_5,60,0
CASE-10268,2025-11-27 01:58:32.134775,2025-11-27 07:34:10.253098,335.64,Complex,Review_Team,Staff_25,480,0
CASE-10934,2025-11-27 02:06:59.065765,2025-11-27 03:17:02.384150,70.06,Medium,Review_Team,Staff_15,180,0
CASE-11690,2025-11-27 02:30:19.295882,2025-11-27 03:38:10.092145,67.85,Medium,Approval_Board,Staff_25,180,0
CASE-11543,2025-11-27 03:03:01.080153,2025-11-27 08:01:58.614966,298.96,Complex,Review_Team,Staff_10,480,0
CASE-11790,2025-11-27 03:11:05.265529,2025-11-27 08:00:38.809422,289.56,Complex,Approval_Board,Staff_19,480,0
CASE-11065,2025-11-27 03:56:51.875459,2025-11-27 04:11:34.917607,14.72,Simple,Audit_Section,Staff_16,60,0
CASE-11833,2025-11-27 04:13:09.512171,2025-11-27 05:51:56.798934,98.79,Medium,Audit_Section,Staff_10,180,0
CASE-11569,2025-11-27 04:38:15.065525,2025-11-27 09:22:41.323092,284.44,Complex,Intake_Team,Staff_24,480,0
CASE-11328,2025-11-27 04:49:24.423184,2025-11-27 05:08:54.304056,19.5,Simple,Intake_Team,Staff_14,60,0
CASE-11979,2025-11-27 05:16:15.601786,2025-11-27 05:39:24.408544,23.15,Simple,Approval_Board,Staff_16,60,0
CASE-11402,2025-11-27 05:51:09.761718,2025-11-27 06:28:35.764595,37.43,Simple,Approval_Board,Staff_3,60,0
CASE-11138,2025-11-27 06:14:29.944964,2025-11-27 09:40:39.614237,206.16,Complex,Approval_Board,Staff_9,480,0
CASE-10617,2025-11-27 06:47:31.293885,2025-11-27 07:27:50.228755,40.32,Simple,Audit_Section,Staff_7,60,0
CASE-10272,2025-11-27 07:04:56.267209,2025-11-27 08:22:29.760991,77.56,Medium,Intake_Team,Staff_13,180,0
CASE-10522,2025-11-27 07:17:44.588665,2025-11-27 08:04:31.040325,46.77,Simple,Intake_Team,Staff_19,60,0
CASE-10283,2025-11-27 07:30:45.810464,2025-11-27 07:50:48.717826,20.05,Simple,Audit_Section,Staff_22,60,0
CASE-10781,2025-11-27 07:35:26.715155,2025-11-27 07:53:59.974496,18.55,Simple,Approval_Board,Staff_1,60,0
CASE-11972,2025-11-27 07:50:02.816760,2025-11-27 08:41:59.090334,51.94,Medium,Approval_Board,Staff_8,180,0
CASE-10779,2025-11-27 08:04:30.018858,2025-11-27 09:09:20.391494,64.84,Medium,Intake_Team,Staff_24,180,0
CASE-11448,2025-11-27 08:58:42.961748,2025-11-27 10:56:06.199370,117.39,Medium,Approval_Board,Staff_3,180,0
CASE-11625,2025-11-27 09:04:10.907437,2025-11-27 10:51:01.407694,106.84,Medium,Approval_Board,Staff_19,180,0
CASE-10308,2025-11-27 09:24:31.113281,2025-11-27 13:15:16.888184,230.76,Complex,Intake_Team,Staff_14,480,0
CASE-10109,2025-11-27 09:54:42.819219,2025-11-27 11:31:54.532216,97.2,Medium,Approval_Board,Staff_6,180,0
CASE-10321,2025-11-27 10:02:50.070485,2025-11-27 10:51:55.867292,49.1,Medium,Approval_Board,Staff_18,180,0
CASE-11892,2025-11-27 10:09:39.145391,2025-11-27 10:24:13.954757,14.58,Simple,Approval_Board,Staff_22,60,0
CASE-11732,2025-11-27 10:11:54.206087,2025-11-27 11:19:02.665471,67.14,Medium,Approval_Board,Staff_8,180,0
CASE-11461,2025-11-27 10:25:02.387733,2025-11-27 12:43:21.608028,138.32,Complex,Approval_Board,Staff_9,480,0
CASE-10736,2025-11-27 11:11:59.433925,2025-11-27 11:44:04.118422,32.08,Simple,Review_Team,Staff_23,60,0
CASE-11240,2025-11-27 11:26:31.571153,2025-11-27 14:06:54.641116,160.38,Complex,Audit_Section,Staff_4,480,0
CASE-11838,2025-11-27 11:29:03.960198,2025-11-27 11:52:10.459003,23.11,Simple,Approval_Board,Staff_21,60,0
CASE-11225,2025-11-27 11:38:13.891255,2025-11-27 13:19:37.656686,101.4,Medium,Audit_Section,Staff_16,180,0
CASE-10013,2025-11-27 11:43:35.283566,2025-11-27 12:14:32.463618,30.95,Simple,Review_Team,Staff_6,60,0
CASE-10284,2025-11-27 12:21:18.648336,2025-11-27 14:10:47.047240,109.47,Medium,Review_Team,Staff_1,180,0
CASE-11994,2025-11-27 12:33:37.979261,2025-11-27 13:01:23.682694,27.76,Simple,Intake_Team,Staff_25,60,0
CASE-11377,2025-11-27 13:11:28.741882,2025-11-27 19:24:18.865171,372.84,Critical,Approval_Board,Staff_7,1440,0
CASE-11177,2025-11-27 13:13:46.033900,2025-11-28 00:18:55.078319,665.15,Critical,Review_Team,Staff_8,1440,0
CASE-11755,2025-11-27 13:30:13.840040,2025-11-27 18:13:03.912691,282.83,Complex,Audit_Section,Staff_15,480,0
CASE-10470,2025-11-27 13:39:40.067222,2025-11-27 14:58:27.189061,78.79,Medium,Approval_Board,Staff_15,180,0
CASE-11073,2025-11-27 14:20:25.424724,2025-11-27 14:45:29.514948,25.07,Simple,Intake_Team,Staff_3,60,0
CASE-11865,2025-11-27 14:20:50.761888,2025-11-27 18:54:03.107518,273.21,Complex,Intake_Team,Staff_17,480,0
CASE-10881,2025-11-27 14:21:48.311014,2025-11-27 19:30:56.327347,309.13,Critical,Approval_Board,Staff_18,1440,0
CASE-10855,2025-11-27 14:31:31.366415,2025-11-27 17:25:46.294373,174.25,Complex,Review_Team,Staff_18,480,0
CASE-10632,2025-11-27 15:15:04.099836,2025-11-27 16:20:19.892404,65.26,Medium,Audit_Section,Staff_2,180,0
CASE-11956,2025-11-27 15:24:00.467895,2025-11-27 16:28:06.309318,64.1,Medium,Review_Team,Staff_4,180,0
CASE-11891,2025-11-27 15:25:57.571774,2025-11-27 23:26:06.764191,480.15,Critical,Review_Team,Staff_21,1440,0
CASE-10889,2025-11-27 15:27:49.896804,2025-11-27 15:49:50.834927,22.02,Simple,Audit_Section,Staff_4,60,0
CASE-10761,2025-11-27 15:34:22.626085,2025-11-27 17:43:10.897215,128.8,Complex,Audit_Section,Staff_18,480,0
CASE-10173,2025-11-27 15:42:38.848158,2025-11-27 18:26:11.211914,163.54,Complex,Intake_Team,Staff_6,480,0
CASE-11367,2025-11-27 16:03:23.441728,2025-11-27 18:05:08.504249,121.75,Medium,Approval_Board,Staff_22,180,0
CASE-10365,2025-11-27 16:21:18.458156,2025-11-27 17:12:10.942628,50.87,Simple,Review_Team,Staff_17,60,0
CASE-10239,2025-11-27 16:35:37.522492,2025-11-27 22:53:39.477395,378.03,Complex,Approval_Board,Staff_23,480,0
CASE-11462,2025-11-27 16:39:05.931658,2025-11-27 17:21:04.046520,41.97,Simple,Review_Team,Staff_7,60,0
CASE-11798,2025-11-27 17:05:32.465821,2025-11-27 18:40:43.264483,95.18,Medium,Approval_Board,Staff_12,180,0
CASE-11747,2025-11-27 17:35:57.377545,2025-11-27 19:26:07.661906,110.17,Medium,Review_Team,Staff_13,180,0
CASE-10747,2025-11-27 18:01:41.318620,2025-11-27 18:17:24.924369,15.73,Simple,Audit_Section,Staff_25,60,0
CASE-11004,2025-11-27 18:05:19.225640,2025-11-27 21:12:01.178560,186.7,Complex,Review_Team,Staff_1,480,0
CASE-10533,2025-11-27 19:17:23.368503,2025-11-27 23:30:50.536729,253.45,Complex,Review_Team,Staff_24,480,0
CASE-11697,2025-11-27 19:20:29.904429,2025-11-27 21:00:00.941733,99.52,Medium,Audit_Section,Staff_22,180,0
CASE-11149,2025-11-27 19:36:54.852894,2025-11-28 05:38:25.126260,601.5,Critical,Approval_Board,Staff_15,1440,0
CASE-10504,2025-11-27 19:39:40.672468,2025-11-27 20:15:48.226249,36.13,Simple,Audit_Section,Staff_24,60,0
CASE-10127,2025-11-27 19:49:43.582699,2025-11-27 20:11:32.264983,21.81,Simple,Review_Team,Staff_17,60,0
CASE-11398,2025-11-27 21:03:23.977843,2025-11-27 23:00:20.590976,116.94,Medium,Intake_Team,Staff_18,180,0
CASE-10512,2025-11-27 21:13:27.596203,2025-11-27 21:39:59.091800,26.52,Simple,Audit_Section,Staff_6,60,0
CASE-11170,2025-11-27 21:45:13.289318,2025-11-27 22:13:50.457433,28.62,Simple,Review_Team,Staff_25,60,0
CASE-11431,2025-11-27 22:22:29.819033,2025-11-28 01:50:31.910628,208.03,Complex,Intake_Team,Staff_2,480,0
CASE-10444,2025-11-27 22:39:34.880254,2025-11-27 23:08:12.983312,28.64,Simple,Intake_Team,Staff_2,60,0
CASE-10775,2025-11-27 22:42:49.739719,2025-11-28 00:25:02.215158,102.21,Medium,Audit_Section,Staff_2,180,0
CASE-10433,2025-11-27 22:57:54.778036,2025-11-28 03:13:02.408606,255.13,Complex,Intake_Team,Staff_21,480,0
CASE-11842,2025-11-27 23:41:19.527895,2025-11-28 00:22:29.457096,41.17,Simple,Review_Team,Staff_23,60,0
CASE-11752,2025-11-27 23:58:41.970402,2025-11-28 01:12:39.961116,73.97,Medium,Approval_Board,Staff_20,180,0
CASE-11168,2025-11-28 00:23:32.529078,2025-11-28 01:08:28.721348,44.94,Simple,Approval_Board,Staff_1,60,0
CASE-11485,2025-11-28 00:49:13.750486,2025-11-28 02:52:29.269909,123.26,Complex,Audit_Section,Staff_25,480,0
CASE-10131,2025-11-28 01:06:35.041644,2025-11-28 03:29:27.930274,142.88,Complex,Review_Team,Staff_3,480,0
CASE-10712,2025-11-28 01:09:22.649260,2025-11-28 05:18:47.501806,249.41,Complex,Approval_Board,Staff_7,480,0
CASE-11919,2025-11-28 01:22:37.786581,2025-11-28 02:34:12.332933,71.58,Medium,Review_Team,Staff_22,180,0
CASE-10490,2025-11-28 01:25:34.255929,2025-11-28 01:45:43.037114,20.15,Simple,Intake_Team,Staff_1,60,0
CASE-11800,2025-11-28 01:37:54.858873,2025-11-28 08:00:50.428103,382.93,Critical,Audit_Section,Staff_24,1440,0
CASE-10701,2025-11-28 01:57:08.014440,2025-11-28 06:00:01.922374,242.9,Complex,Audit_Section,Staff_11,480,0
CASE-11526,2025-11-28 02:02:27.762873,2025-11-28 03:39:47.049300,97.32,Medium,Intake_Team,Staff_19,180,0
CASE-10918,2025-11-28 02:03:57.173990,2025-11-28 06:30:14.471514,266.29,Critical,Audit_Section,Staff_19,1440,0
CASE-10905,2025-11-28 03:03:17.026556,2025-11-28 07:30:24.349873,267.12,Complex,Audit_Section,Staff_25,480,0
CASE-11700,2025-11-28 03:17:26.245777,2025-11-28 03:44:26.010972,27.0,Simple,Approval_Board,Staff_21,60,0
CASE-11691,2025-11-28 03:40:05.279530,2025-11-28 03:55:14.526932,15.15,Simple,Intake_Team,Staff_24,60,0
CASE-10814,2025-11-28 03:47:19.880216,2025-11-28 04:23:10.751602,35.85,Simple,Approval_Board,Staff_10,60,0
CASE-11840,2025-11-28 05:27:16.944733,2025-11-28 06:30:42.009872,63.42,Medium,Intake_Team,Staff_24,180,0
CASE-10311,2025-11-28 05:27:37.502702,2025-11-28 07:33:06.607131,125.49,Medium,Audit_Section,Staff_2,180,0
CASE-11541,2025-11-28 05:31:36.470857,2025-11-28 10:02:28.530759,270.87,Complex,Intake_Team,Staff_20,480,0
CASE-10295,2025-11-28 05:33:33.509862,2025-11-28 10:07:45.453211,274.2,Complex,Review_Team,Staff_17,480,0
CASE-10440,2025-11-28 05:41:18.828101,2025-11-28 06:17:09.574721,35.85,Simple,Approval_Board,Staff_15,60,0
CASE-11761,2025-11-28 07:07:53.840606,2025-11-28 07:42:03.538542,34.16,Simple,Approval_Board,Staff_12,60,0
CASE-11449,2025-11-28 07:14:49.715698,2025-11-28 07:31:40.181124,16.84,Simple,Approval_Board,Staff_5,60,0
CASE-10117,2025-11-28 07:32:52.715957,2025-11-28 07:50:19.867299,17.45,Simple,Approval_Board,Staff_12,60,0
CASE-10702,2025-11-28 07:47:55.183942,2025-11-28 18:59:25.382929,671.5,Critical,Intake_Team,Staff_8,1440,0
CASE-11409,2025-11-28 08:11:08.856071,2025-11-28 10:00:20.719384,109.2,Medium,Audit_Section,Staff_22,180,0
CASE-10599,2025-11-28 08:20:16.206641,2025-11-28 08:37:53.001157,17.61,Simple,Approval_Board,Staff_21,60,0
CASE-11699,2025-11-28 08:31:03.542845,2025-11-28 12:35:43.279568,244.66,Complex,Review_Team,Staff_6,480,0
CASE-10128,2025-11-28 09:03:19.855820,2025-11-28 12:10:07.306454,186.79,Complex,Intake_Team,Staff_2,480,0
CASE-11280,2025-11-28 09:05:42.591871,2025-11-28 15:14:15.529004,368.55,Complex,Approval_Board,Staff_22,480,0
CASE-11524,2025-11-28 09:12:58.874746,2025-11-28 09:42:31.175104,29.54,Simple,Audit_Section,Staff_12,60,0
CASE-11875,2025-11-28 09:33:04.262088,2025-11-28 11:13:09.943834,100.09,Medium,Intake_Team,Staff_18,180,0
CASE-11941,2025-11-28 09:33:11.429527,2025-11-28 09:56:46.660122,23.59,Simple,Review_Team,Staff_25,60,0
CASE-11887,2025-11-28 10:31:35.448901,2025-11-28 12:27:21.566953,115.77,Medium,Review_Team,Staff_15,180,0
CASE-10816,2025-11-28 10:41:45.700672,2025-11-28 11:55:00.367837,73.24,Medium,Audit_Section,Staff_6,180,0
CASE-11383,2025-11-28 11:32:47.472063,2025-11-28 12:06:25.608602,33.64,Simple,Audit_Section,Staff_1,60,0
CASE-11665,2025-11-28 11:35:44.138139,2025-11-28 11:59:37.706624,23.89,Simple,Review_Team,Staff_15,60,0
CASE-10810,2025-11-28 11:54:25.016270,2025-11-28 12:11:54.514813,17.49,Simple,Approval_Board,Staff_21,60,0
CASE-10161,2025-11-28 12:11:17.095401,2025-11-28 17:07:02.526194,295.76,Complex,Review_Team,Staff_2,480,0
CASE-11903,2025-11-28 12:36:04.225689,2025-11-28 12:58:57.314734,22.88,Simple,Review_Team,Staff_17,60,0
CASE-11394,2025-11-28 12:48:41.704478,2025-11-28 14:38:06.217980,109.41,Medium,Review_Team,Staff_20,180,0
CASE-10355,2025-11-28 12:50:22.881509,2025-11-28 14:43:23.039720,113.0,Medium,Approval_Board,Staff_16,180,0
CASE-11415,2025-11-28 13:06:18.224643,2025-11-28 13:41:52.219165,35.57,Simple,Intake_Team,Staff_3,60,0
CASE-10807,2025-11-28 13:13:18.872729,2025-11-28 13:46:58.507430,33.66,Simple,Review_Team,Staff_17,60,0
CASE-11264,2025-11-28 13:24:15.156551,2025-11-28 15:56:17.484982,152.04,Medium,Audit_Section,Staff_7,180,0
CASE-10347,2025-11-28 13:25:42.303586,2025-11-28 14:31:15.839185,65.56,Medium,Review_Team,Staff_20,180,0
CASE-10015,2025-11-28 13:49:43.322393,2025-11-28 20:06:05.827298,376.38,Critical,Audit_Section,Staff_11,1440,0
CASE-10404,2025-11-28 13:54:36.338408,2025-11-28 14:32:20.862241,37.74,Medium,Intake_Team,Staff_22,180,0
CASE-10590,2025-11-28 14:05:34.656140,2025-11-28 14:38:17.243965,32.71,Simple,Approval_Board,Staff_10,60,0
CASE-10550,2025-11-28 14:11:03.620424,2025-11-28 16:41:44.996731,150.69,Complex,Approval_Board,Staff_21,480,0
CASE-10446,2025-11-28 14:25:00.039614,2025-11-28 17:05:55.756954,160.93,Complex,Audit_Section,Staff_12,480,0
CASE-11175,2025-11-28 14:34:32.497470,2025-11-28 18:22:48.321731,228.26,Complex,Approval_Board,Staff_14,480,0
CASE-11578,2025-11-28 14:57:47.701825,2025-11-28 15:25:26.791696,27.65,Simple,Audit_Section,Staff_4,60,0
CASE-11651,2025-11-28 15:16:10.399973,2025-11-28 15:53:04.929517,36.91,Simple,Audit_Section,Staff_25,60,0
CASE-10297,2025-11-28 15:18:04.607799,2025-11-28 19:42:24.347702,264.33,Complex,Review_Team,Staff_11,480,0
CASE-10148,2025-11-28 15:53:02.490617,2025-11-28 17:48:08.893249,115.11,Complex,Intake_Team,Staff_12,480,0
CASE-10004,2025-11-28 16:27:37.578610,2025-11-28 17:54:27.423024,86.83,Medium,Audit_Section,Staff_25,180,0
CASE-11412,2025-11-28 16:43:46.446004,2025-11-28 17:34:41.514250,50.92,Medium,Review_Team,Staff_20,180,0
CASE-11017,2025-11-28 16:49:04.494013,2025-11-28 18:04:38.740880,75.57,Medium,Review_Team,Staff_8,180,0
CASE-11277,2025-11-28 16:54:11.509047,2025-11-29 02:05:48.454836,551.62,Critical,Review_Team,Staff_10,1440,0
CASE-11963,2025-11-28 17:28:07.615335,2025-11-28 18:26:26.652146,58.32,Medium,Intake_Team,Staff_19,180,0
CASE-10793,2025-11-28 18:03:16.002204,2025-11-29 00:48:25.145198,405.15,Critical,Intake_Team,Staff_21,1440,0
CASE-10449,2025-11-28 18:04:53.731167,2025-11-28 18:30:07.564306,25.23,Simple,Approval_Board,Staff_12,60,0
CASE-10325,2025-11-28 18:05:46.162460,2025-11-28 22:29:33.808217,263.79,Complex,Intake_Team,Staff_9,480,0
CASE-10040,2025-11-28 18:12:47.638522,2025-11-29 04:47:56.153361,635.14,Critical,Audit_Section,Staff_25,1440,0
CASE-11505,2025-11-28 19:33:10.547351,2025-11-28 19:53:01.115619,19.84,Simple,Intake_Team,Staff_25,60,0
CASE-11912,2025-11-28 19:35:28.711320,2025-11-28 21:41:39.647125,126.18,Medium,Audit_Section,Staff_8,180,0
CASE-11718,2025-11-28 19:42:44.276698,2025-11-28 20:11:40.912727,28.94,Simple,Approval_Board,Staff_13,60,0
CASE-10768,2025-11-28 19:49:15.669056,2025-11-29 02:18:01.709548,388.77,Critical,Review_Team,Staff_17,1440,0
CASE-10278,2025-11-28 19:53:35.951167,2025-11-28 20:15:32.233047,21.94,Simple,Audit_Section,Staff_2,60,0
CASE-10737,2025-11-28 19:59:49.979358,2025-11-28 22:29:20.552620,149.51,Complex,Approval_Board,Staff_15,480,0
CASE-10766,2025-11-28 20:00:28.738170,2025-11-28 20:40:06.959515,39.64,Simple,Review_Team,Staff_25,60,0
CASE-11712,2025-11-28 20:17:08.053303,2025-11-29 02:04:44.937167,347.61,Complex,Audit_Section,Staff_6,480,0
CASE-11984,2025-11-28 20:28:46.426884,2025-11-29 01:33:47.964896,305.03,Complex,Review_Team,Staff_25,480,0
CASE-10267,2025-11-28 20:37:59.971052,2025-11-28 22:28:32.596767,110.54,Medium,Intake_Team,Staff_6,180,0
CASE-11053,2025-11-28 21:03:34.941326,2025-11-29 03:58:27.673100,414.88,Critical,Approval_Board,Staff_4,1440,0
CASE-10515,2025-11-28 21:30:49.778011,2025-11-28 22:14:59.394039,44.16,Simple,Review_Team,Staff_8,60,0
CASE-11083,2025-11-28 21:46:26.026600,2025-11-28 23:46:25.963259,120.0,Medium,Approval_Board,Staff_18,180,0
CASE-11805,2025-11-28 21:58:41.614435,2025-11-28 22:53:44.791073,55.05,Simple,Intake_Team,Staff_13,60,0
CASE-10546,2025-11-28 21:59:44.362973,2025-11-28 22:20:25.758210,20.69,Simple,Audit_Section,Staff_23,60,0
CASE-11703,2025-11-28 22:42:27.150693,2025-11-29 06:16:02.610398,453.59,Critical,Intake_Team,Staff_4,1440,0
CASE-11457,2025-11-28 22:47:39.166647,2025-11-29 00:59:21.666455,131.71,Medium,Review_Team,Staff_3,180,0
CASE-11728,2025-11-28 22:54:29.171201,2025-11-28 23:11:59.148231,17.5,Simple,Audit_Section,Staff_2,60,0
CASE-10562,2025-11-28 23:00:40.151862,2025-11-29 00:06:09.040803,65.48,Medium,Intake_Team,Staff_19,180,0
CASE-11248,2025-11-28 23:09:52.148783,2025-11-29 03:13:21.404667,243.49,Complex,Approval_Board,Staff_16,480,0
CASE-10578,2025-11-28 23:16:33.030519,2025-11-29 06:40:48.498416,444.26,Critical,Intake_Team,Staff_14,1440,0
CASE-10176,2025-11-28 23:25:58.159803,2025-11-29 00:09:49.183261,43.85,Simple,Intake_Team,Staff_12,60,0
CASE-10677,2025-11-28 23:29:05.859338,2025-11-29 00:08:43.660064,39.63,Simple,Review_Team,Staff_25,60,0
CASE-11068,2025-11-29 00:21:59.648740,2025-11-29 00:51:15.814862,29.27,Simple,Audit_Section,Staff_10,60,0
CASE-11084,2025-11-29 00:23:46.789659,2025-11-29 00:57:55.286549,34.14,Simple,Review_Team,Staff_25,60,0
CASE-11680,2025-11-29 00:41:14.409724,2025-11-29 04:34:58.747864,233.74,Complex,Review_Team,Staff_2,480,0
CASE-10106,2025-11-29 01:03:14.089271,2025-11-29 01:41:18.604650,38.08,Simple,Review_Team,Staff_1,60,0
CASE-10423,2025-11-29 01:11:52.968286,2025-11-29 02:35:27.930747,83.58,Medium,Review_Team,Staff_11,180,0
CASE-11074,2025-11-29 01:33:23.511749,2025-11-29 02:14:07.585580,40.73,Simple,Audit_Section,Staff_7,60,0
CASE-11883,2025-11-29 01:46:08.830017,2025-11-29 08:23:59.815327,397.85,Critical,Audit_Section,Staff_5,1440,0
CASE-10160,2025-11-29 01:49:22.972862,2025-11-29 03:10:41.203592,81.3,Medium,Review_Team,Staff_21,180,0
CASE-10710,2025-11-29 02:09:41.386317,2025-11-29 07:36:57.801371,327.27,Complex,Review_Team,Staff_7,480,0
CASE-10439,2025-11-29 02:23:33.355685,2025-11-29 03:21:41.124541,58.13,Medium,Approval_Board,Staff_15,180,0
CASE-10872,2025-11-29 02:30:19.005024,2025-11-29 04:04:40.248270,94.35,Medium,Review_Team,Staff_20,180,0
CASE-10146,2025-11-29 02:34:19.916872,2025-11-29 02:59:45.552394,25.43,Simple,Review_Team,Staff_9,60,0
CASE-10016,2025-11-29 02:36:01.710142,2025-11-29 03:14:12.553596,38.18,Medium,Approval_Board,Staff_6,180,0
CASE-10982,2025-11-29 02:36:37.040615,2025-11-29 06:21:21.104011,224.73,Complex,Intake_Team,Staff_21,480,0
CASE-10968,2025-11-29 02:50:07.456958,2025-11-29 03:28:19.582361,38.2,Simple,Intake_Team,Staff_17,60,0
CASE-11140,2025-11-29 02:54:28.801631,2025-11-29 04:45:47.736444,111.32,Medium,Approval_Board,Staff_22,180,0
CASE-10066,2025-11-29 03:19:05.327331,2025-11-29 03:56:36.880081,37.53,Simple,Review_Team,Staff_4,60,0
CASE-10836,2025-11-29 03:42:17.049424,2025-11-29 05:37:04.416448,114.79,Medium,Review_Team,Staff_16,180,0
CASE-10153,2025-11-29 03:52:59.565270,2025-11-29 07:15:42.420694,202.71,Complex,Approval_Board,Staff_24,480,0
CASE-11057,2025-11-29 03:55:20.457578,2025-11-29 07:39:00.096480,223.66,Complex,Approval_Board,Staff_23,480,0
CASE-11395,2025-11-29 04:30:17.719835,2025-11-29 06:43:32.515218,133.25,Complex,Intake_Team,Staff_13,480,0
CASE-11920,2025-11-29 05:01:30.557792,2025-11-29 05:27:38.123385,26.13,Simple,Intake_Team,Staff_4,60,0
CASE-11611,2025-11-29 05:07:05.818568,2025-11-29 07:14:31.957280,127.44,Medium,Audit_Section,Staff_16,180,0
CASE-10576,2025-11-29 05:35:13.042494,2025-11-29 07:17:12.748154,102.0,Medium,Audit_Section,Staff_2,180,0
CASE-11781,2025-11-29 05:47:50.147898,2025-11-29 06:29:09.390828,41.32,Simple,Review_Team,Staff_19,60,0
CASE-11455,2025-11-29 05:53:34.327678,2025-11-29 06:09:00.105254,15.43,Simple,Intake_Team,Staff_3,60,0
CASE-10314,2025-11-29 06:37:05.945571,2025-11-29 07:37:52.322448,60.77,Medium,Review_Team,Staff_20,180,0
CASE-10243,2025-11-29 06:58:37.567310,2025-11-29 08:11:01.716671,72.4,Medium,Review_Team,Staff_2,180,0
CASE-11134,2025-11-29 07:34:50.425017,2025-11-29 15:26:39.463469,471.82,Critical,Approval_Board,Staff_12,1440,0
CASE-11336,2025-11-29 07:45:10.652111,2025-11-29 08:29:36.671157,44.43,Simple,Audit_Section,Staff_14,60,0
CASE-11951,2025-11-29 08:25:55.172762,2025-11-29 10:09:31.181301,103.6,Complex,Audit_Section,Staff_19,480,0
CASE-11844,2025-11-29 08:50:55.679211,2025-11-29 09:21:05.749652,30.17,Simple,Intake_Team,Staff_18,60,0
CASE-11774,2025-11-29 08:53:31.236094,2025-11-29 10:53:15.972193,119.75,Complex,Audit_Section,Staff_2,480,0
CASE-10809,2025-11-29 09:31:08.423439,2025-11-29 14:17:30.605690,286.37,Complex,Audit_Section,Staff_8,480,0
CASE-11582,2025-11-29 09:32:03.306086,2025-11-29 10:17:22.878305,45.33,Simple,Review_Team,Staff_5,60,0
CASE-11268,2025-11-29 09:40:27.173597,2025-11-29 11:42:51.835745,122.41,Medium,Review_Team,Staff_6,180,0
CASE-11877,2025-11-29 09:44:32.029537,2025-11-29 14:45:50.352049,301.31,Complex,Review_Team,Staff_3,480,0
CASE-11384,2025-11-29 10:31:13.083560,2025-11-29 11:35:49.566912,64.61,Medium,Approval_Board,Staff_15,180,0
CASE-10603,2025-11-29 11:18:50.837705,2025-11-29 11:49:02.837718,30.2,Simple,Audit_Section,Staff_23,60,0
CASE-10939,2025-11-29 11:31:47.994229,2025-11-29 11:57:00.662475,25.21,Simple,Intake_Team,Staff_20,60,0
CASE-10389,2025-11-29 11:56:30.030369,2025-11-29 12:13:34.430678,17.07,Simple,Audit_Section,Staff_6,60,0
CASE-10193,2025-11-29 12:08:16.427543,2025-11-29 12:51:38.074017,43.36,Simple,Audit_Section,Staff_4,60,0
CASE-10858,2025-11-29 12:41:10.325316,2025-11-29 14:35:57.365590,114.78,Medium,Approval_Board,Staff_19,180,0
CASE-11965,2025-11-29 12:54:20.215040,2025-11-29 20:42:54.053768,468.56,Critical,Audit_Section,Staff_11,1440,0
CASE-10121,2025-11-29 13:00:13.998729,2025-11-29 14:11:26.505234,71.21,Medium,Approval_Board,Staff_23,180,0
CASE-11935,2025-11-29 13:00:58.231240,2025-11-29 13:43:44.017489,42.76,Simple,Audit_Section,Staff_15,60,0
CASE-10501,2025-11-29 13:30:24.402356,2025-11-29 21:36:47.572416,486.39,Critical,Intake_Team,Staff_6,1440,0
CASE-11834,2025-11-29 13:41:31.669220,2025-11-29 14:13:50.921271,32.32,Simple,Intake_Team,Staff_7,60,0
CASE-11991,2025-11-29 14:04:34.286567,2025-11-29 14:44:08.498756,39.57,Simple,Approval_Board,Staff_17,60,0
CASE-11735,2025-11-29 14:33:11.843897,2025-11-29 18:57:24.939361,264.22,Complex,Review_Team,Staff_23,480,0
CASE-10526,2025-11-29 15:25:57.932416,2025-11-29 21:45:00.532512,379.04,Complex,Audit_Section,Staff_16,480,0
CASE-10229,2025-11-29 15:29:38.326705,2025-11-29 16:02:06.038466,32.46,Simple,Audit_Section,Staff_14,60,0
CASE-11082,2025-11-29 16:18:00.824360,2025-11-29 16:55:19.852489,37.32,Simple,Review_Team,Staff_5,60,0
CASE-11239,2025-11-29 16:31:24.913614,2025-11-29 17:06:36.457278,35.19,Simple,Approval_Board,Staff_23,60,0
CASE-10332,2025-11-29 16:42:44.374177,2025-11-29 18:38:30.944653,115.78,Medium,Review_Team,Staff_19,180,0
